0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.text.js HTTP/1.1" 200 8778
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.container.js HTTP/1.1" 200 21772
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.html.js HTTP/1.1" 200 18463
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.static.js HTTP/1.1" 200 21891
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.spreadsheet.js HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.progress.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.binary.js HTTP/1.1" 200 12092
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.datetime.js HTTP/1.1" 200 14978
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.relational.base.js HTTP/1.1" 200 15011
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.select.js HTTP/1.1" 200 29673
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.code.js HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.relational.nested.js HTTP/1.1" 200 10817
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.relational.multiple.js HTTP/1.1" 200 40420
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.relational.single.js HTTP/1.1" 200 34381
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.json.js HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.mail.js HTTP/1.1" 200 36751
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/view/view.base.js HTTP/1.1" 200 24412
